# Datos base de PE-U4 (copia literal, sin modificaciones) tomados de:
# Repositorio: https://github.com/carlospatroner-boop/pe-u4-spark-Soporte-Tecnico-ISP
# Commit (HEAD en main al momento de la consulta): d9ce0e69ab81c4a8b7373c5a29f0522dc048f2f9
# Archivo de origen: resultados/tiempos_resumen.csv
transformacion,mediana_pandas_s,mediana_pyspark_s,speedup
T1_filtrado,0.184637,1.078875,0.1711
T2_agrupacion,0.157455,1.885391,0.0835
T3_join,0.136325,1.82899,0.0745
T4_columna_derivada,0.35589,0.848307,0.4195
T5_top_n,0.116895,1.428594,0.0818
#
# Escalado de T3 (join) por numero de executors -- unica serie con N=1,2,4 en el repositorio.
# Archivo de origen: resultados/t3_escalado_executors.json y resultados/amdahl_fit.json
# N,tiempo_pyspark_s
# 1,3.071177
# 2,3.125159
# 4,1.828990
